Path [0041]	:	['KUL', 'JAK', 'BKK', 'TPE', 'KOR', 'PEK', 'HKG', 'TOK', 'KUL']
Distance	:	18432.261805970928 km

Path [0042]	:	['KUL', 'JAK', 'BKK', 'TPE', 'KOR', 'PEK', 'TOK', 'HKG', 'KUL']
Distance	:	15806.848113312286 km

Path [0043]	:	['KUL', 'JAK', 'BKK', 'TPE', 'PEK', 'HKG', 'TOK', 'KOR', 'KUL']
Distance	:	18201.36018783086 km

Path [0044]	:	['KUL', 'JAK', 'BKK', 'TPE', 'PEK', 'HKG', 'KOR', 'TOK', 'KUL']
Distance	:	18106.656921800513 km

Path [0045]	:	['KUL', 'JAK', 'BKK', 'TPE', 'PEK', 'TOK', 'HKG', 'KOR', 'KUL']
Distance	:	19237.94517376415 km

Path [0046]	:	['KUL', 'JAK', 'BKK', 'TPE', 'PEK', 'TOK', 'KOR', 'HKG', 'KUL']
Distance	:	15481.24322914187 km

Path [0047]	:	['KUL', 'JAK', 'BKK', 'TPE', 'PEK', 'KOR', 'HKG', 'TOK', 'KUL']
Distance	:	18779.842879534237 km

Path [0048]	:	['KUL', 'JAK', 'BKK', 'TPE', 'PEK', 'KOR', 'TOK', 'HKG', 'KUL']
Distance	:	15117.844200942303 km

Path [0049]	:	['KUL', 'JAK', 'BKK', 'TOK', 'HKG', 'TPE', 'KOR', 'PEK', 'KUL']
Distance	:	18408.407346816177 km

Path [0050]	:	['KUL', 'JAK', 'BKK', 'TOK', 'HKG', 'TPE', 'PEK', 'KOR', 'KUL']
Distance	:	18877.832775598516 km

Path [0051]	:	['KUL', 'JAK', 'BKK', 'TOK', 'HKG', 'KOR', 'TPE', 'PEK', 'KUL']
Distance	:	20426.254360765175 km

Path [0052]	:	['KUL', 'JAK', 'BKK', 'TOK', 'HKG', 'KOR', 'PEK', 'TPE', 'KUL']
Distance	:	18775.361218957096 km

Path [0053]	:	['KUL', 'JAK', 'BKK', 'TOK', 'HKG', 'PEK', 'TPE', 'KOR', 'KUL']
Distance	:	20548.098715984204 km

Path [0054]	:	['KUL', 'JAK', 'BKK', 'TOK', 'HKG', 'PEK', 'KOR', 'TPE', 'KUL']
Distance	:	18427.78014539379 km

Path [0055]	:	['KUL', 'JAK', 'BKK', 'TOK', 'TPE', 'HKG', 'KOR', 'PEK', 'KUL']
Distance	:	18233.37425174046 km

Path [0056]	:	['KUL', 'JAK', 'BKK', 'TOK', 'TPE', 'HKG', 'PEK', 'KOR', 'KUL']
Distance	:	18355.21860695949 km

Path [0057]	:	['KUL', 'JAK', 'BKK', 'TOK', 'TPE', 'KOR', 'HKG', 'PEK', 'KUL']
Distance	:	19903.64019212615 km

Path [0058]	:	['KUL', 'JAK', 'BKK', 'TOK', 'TPE', 'KOR', 'PEK', 'HKG', 'KUL']
Distance	:	16941.968560456626 km

Path [0059]	:	['KUL', 'JAK', 'BKK', 'TOK', 'TPE', 'PEK', 'HKG', 'KOR', 'KUL']
Distance	:	20373.06562090849 km

Path [0060]	:	['KUL', 'JAK', 'BKK', 'TOK', 'TPE', 'PEK', 'KOR', 'HKG', 'KUL']
Distance	:	17289.54963401993 km

Path [0061]	:	['KUL', 'JAK', 'BKK', 'TOK', 'KOR', 'HKG', 'TPE', 'PEK', 'KUL']
Distance	:	18082.802462645763 km

Path [0062]	:	['KUL', 'JAK', 'BKK', 'TOK', 'KOR', 'HKG', 'PEK', 'TPE', 'KUL']
Distance	:	18102.175261223372 km

Path [0063]	:	['KUL', 'JAK', 'BKK', 'TOK', 'KOR', 'TPE', 'HKG', 'PEK', 'KUL']
Distance	:	17735.221389082453 km

Path [0064]	:	['KUL', 'JAK', 'BKK', 'TOK', 'KOR', 'TPE', 'PEK', 'HKG', 'KUL']
Distance	:	16791.396771361928 km

Path [0065]	:	['KUL', 'JAK', 'BKK', 'TOK', 'KOR', 'PEK', 'HKG', 'TPE', 'KUL']
Distance	:	16084.328247274378 km

Path [0066]	:	['KUL', 'JAK', 'BKK', 'TOK', 'KOR', 'PEK', 'TPE', 'HKG', 'KUL']
Distance	:	15121.130830976237 km

Path [0067]	:	['KUL', 'JAK', 'BKK', 'TOK', 'PEK', 'HKG', 'TPE', 'KOR', 'KUL']
Distance	:	18893.650730234775 km

Path [0068]	:	['KUL', 'JAK', 'BKK', 'TOK', 'PEK', 'HKG', 'KOR', 'TPE', 'KUL']
Distance	:	18791.179173593355 km

Path [0069]	:	['KUL', 'JAK', 'BKK', 'TOK', 'PEK', 'TPE', 'HKG', 'KOR', 'KUL']
Distance	:	19241.231803798084 km

Path [0070]	:	['KUL', 'JAK', 'BKK', 'TOK', 'PEK', 'TPE', 'KOR', 'HKG', 'KUL']
Distance	:	17827.981757295216 km

Path [0071]	:	['KUL', 'JAK', 'BKK', 'TOK', 'PEK', 'KOR', 'HKG', 'TPE', 'KUL']
Distance	:	17120.913233207666 km

Path [0072]	:	['KUL', 'JAK', 'BKK', 'TOK', 'PEK', 'KOR', 'TPE', 'HKG', 'KUL']
Distance	:	15810.13474334622 km

Path [0073]	:	['KUL', 'JAK', 'BKK', 'KOR', 'HKG', 'TPE', 'TOK', 'PEK', 'KUL']
Distance	:	18508.57121324467 km

Path [0074]	:	['KUL', 'JAK', 'BKK', 'KOR', 'HKG', 'TPE', 'PEK', 'TOK', 'KUL']
Distance	:	19058.326471072385 km

Path [0075]	:	['KUL', 'JAK', 'BKK', 'KOR', 'HKG', 'TOK', 'TPE', 'PEK', 'KUL']
Distance	:	20163.0191989941 km

Path [0076]	:	['KUL', 'JAK', 'BKK', 'KOR', 'HKG', 'TOK', 'PEK', 'TPE', 'KUL']
Distance	:	19050.55818046131 km

Path [0077]	:	['KUL', 'JAK', 'BKK', 'KOR', 'HKG', 'PEK', 'TPE', 'TOK', 'KUL']
Distance	:	20190.16028818279 km

Path [0078]	:	['KUL', 'JAK', 'BKK', 'KOR', 'HKG', 'PEK', 'TOK', 'TPE', 'KUL']
Distance	:	18527.944011822285 km

Path [0079]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TPE', 'HKG', 'TOK', 'PEK', 'KUL']
Distance	:	18683.60430832039 km

Path [0080]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TPE', 'HKG', 'PEK', 'TOK', 'KUL']
Distance	:	18710.745397509076 km

Path [0081]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TPE', 'TOK', 'HKG', 'PEK', 'KUL']
Distance	:	19815.438125430795 km

Path [0082]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TPE', 'TOK', 'PEK', 'HKG', 'KUL']
Distance	:	17217.165521960836 km

Path [0083]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TPE', 'PEK', 'HKG', 'TOK', 'KUL']
Distance	:	20365.193383258505 km

Path [0084]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TPE', 'PEK', 'TOK', 'HKG', 'KUL']
Distance	:	17739.779690599862 km

Path [0085]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TOK', 'HKG', 'TPE', 'PEK', 'KUL']
Distance	:	17994.60039595041 km

Path [0086]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TOK', 'HKG', 'PEK', 'TPE', 'KUL']
Distance	:	18013.973194528022 km

Path [0087]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TOK', 'TPE', 'HKG', 'PEK', 'KUL']
Distance	:	17471.986227311383 km

Path [0088]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TOK', 'TPE', 'PEK', 'HKG', 'KUL']
Distance	:	16528.161609590854 km

Path [0089]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TOK', 'PEK', 'HKG', 'TPE', 'KUL']
Distance	:	16359.525208778592 km

Path [0090]	:	['KUL', 'JAK', 'BKK', 'KOR', 'TOK', 'PEK', 'TPE', 'HKG', 'KUL']
Distance	:	15396.327792480452 km

Path [0091]	:	['KUL', 'JAK', 'BKK', 'KOR', 'PEK', 'HKG', 'TPE', 'TOK', 'KUL']
Distance	:	18172.31327423379 km

Path [0092]	:	['KUL', 'JAK', 'BKK', 'KOR', 'PEK', 'HKG', 'TOK', 'TPE', 'KUL']
Distance	:	18164.544983622716 km

Path [0093]	:	['KUL', 'JAK', 'BKK', 'KOR', 'PEK', 'TPE', 'HKG', 'TOK', 'KUL']
Distance	:	18694.927442872817 km

Path [0094]	:	['KUL', 'JAK', 'BKK', 'KOR', 'PEK', 'TPE', 'TOK', 'HKG', 'KUL']
Distance	:	17201.347567324578 km

Path [0095]	:	['KUL', 'JAK', 'BKK', 'KOR', 'PEK', 'TOK', 'HKG', 'TPE', 'KUL']
Distance	:	17032.711166512316 km

Path [0096]	:	['KUL', 'JAK', 'BKK', 'KOR', 'PEK', 'TOK', 'TPE', 'HKG', 'KUL']
Distance	:	15546.89958157515 km

Path [0097]	:	['KUL', 'JAK', 'BKK', 'PEK', 'HKG', 'TPE', 'TOK', 'KOR', 'KUL']
Distance	:	17321.880059621108 km

Path [0098]	:	['KUL', 'JAK', 'BKK', 'PEK', 'HKG', 'TPE', 'KOR', 'TOK', 'KUL']
Distance	:	17402.20988866648 km

Path [0099]	:	['KUL', 'JAK', 'BKK', 'PEK', 'HKG', 'TOK', 'TPE', 'KOR', 'KUL']
Distance	:	19665.33195774052 km

Path [0100]	:	['KUL', 'JAK', 'BKK', 'PEK', 'HKG', 'TOK', 'KOR', 'TPE', 'KUL']
Distance	:	17394.441598055408 km

Path [0101]	:	['KUL', 'JAK', 'BKK', 'PEK', 'HKG', 'KOR', 'TPE', 'TOK', 'KUL']
Distance	:	19570.628691710175 km

Path [0102]	:	['KUL', 'JAK', 'BKK', 'PEK', 'HKG', 'KOR', 'TOK', 'TPE', 'KUL']
Distance	:	17219.408502979688 km

Path [0103]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TPE', 'HKG', 'TOK', 'KOR', 'KUL']
Distance	:	17844.494228260133 km

Path [0104]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TPE', 'HKG', 'KOR', 'TOK', 'KUL']
Distance	:	17749.79096222979 km

Path [0105]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TPE', 'TOK', 'HKG', 'KOR', 'KUL']
Distance	:	20012.91303130383 km

Path [0106]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TPE', 'TOK', 'KOR', 'HKG', 'KUL']
Distance	:	16256.21108668155 km

Path [0107]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TPE', 'KOR', 'HKG', 'TOK', 'KUL']
Distance	:	20093.2428603492 km

Path [0108]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TPE', 'KOR', 'TOK', 'HKG', 'KUL']
Distance	:	16431.24418175727 km

Path [0109]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TOK', 'HKG', 'TPE', 'KOR', 'KUL']
Distance	:	18533.49814063012 km

Path [0110]	:	['KUL', 'JAK', 'BKK', 'PEK', 'TOK', 'HKG', 'KOR', 'TPE', 'KUL']
Distance	:	18431.0265839887 km

